Brand,Product Name,Price,Rating,Reviews,Image URL,Product Link
Puma,Team Goal V1 Everyday Backpack,"₹1,341",3.8,15,,https://www.ajio.com/puma-team-goal-v1-everyday-backpack/p/469759969_black?
F-GEAR,Men Laptop Backpack with Adjustable Strap,"₹4,980",4.7,3,,https://www.ajio.com/f-gear-men-laptop-backpack-with-adjustable-strap/p/702526984_black?
Puma,ACADEMY Printed Backpack,"₹1,679",3.7,17,,https://www.ajio.com/puma-academy-printed-backpack/p/701419986_black?
Priority,Mens Laptop Bag Pack,₹432,4,82,,https://www.ajio.com/priority-mens-laptop-bag-pack/p/700519792_navy?
Urban Jungle,"Unisex Water-Resistant 16"" Laptop Backpack","₹3,520",,,,https://www.ajio.com/urban-jungle-unisex-water-resistant-16-laptop-backpack/p/4943917990_multi?
Decathlon,Quechua - Boys MH900 Ventilated Hiking Backpack 40 + 10 L,"₹5,199",,,,https://www.ajio.com/decathlon-quechua--boys-mh900-ventilated-hiking-backpack-40--10-l/p/702478365_teal?
CONVERSE,"11"" Laptop Backpack with Adjustable Straps","₹2,499",,,,https://www.ajio.com/converse-11-laptop-backpack-with-adjustable-straps/p/703581129_black?
FUR JADEN,Men Travel Backpack with Padded Shoulder Straps,"₹2,199",3.5,2,,https://www.ajio.com/fur-jaden-men-travel-backpack-with-padded-shoulder-straps/p/702613370_grey?
Priority,Men Everyday Use Back Pack,₹419,4.2,125,,https://www.ajio.com/priority-men-everyday-use-back-pack/p/700582663_black?
Assembly,Men Back Pack,"₹3,299",4.2,9,,https://www.ajio.com/assembly-men-back-pack/p/701504036_green?
Puma,Ignite Tophandle Backpack,"₹1,350",3.1,7,,https://www.ajio.com/puma-ignite-tophandle-backpack/p/702588385_purple?
Priority,Men Printed Everyday Backpack,₹667,3.8,44,,https://www.ajio.com/priority-men-printed-everyday-backpack/p/469810638_black?
Puma,Ferrari Pro Modern Boxy Design Backpack,"₹3,290",4.9,7,,https://www.ajio.com/puma-ferrari-pro-modern-boxy-design-backpack/p/701965376_black?
POLICE,Leather Backpack with Adjustable Straps,"₹4,000",4.5,2,,https://www.ajio.com/police-leather-backpack-with-adjustable-straps/p/703304868_black?
Priority,Unisex Printed College Backpack with Raincover - 38L,₹432,3.9,53,,https://www.ajio.com/priority-unisex-printed-college-backpack-with-raincover--38l/p/700643977_navy?
Puma,Porsche Legacy Motorsport Backpack,"₹5,999",5,11,,https://www.ajio.com/puma-porsche-legacy-motorsport-backpack/p/701512869_black?
UNITED COLORS OF BENETTON,Men Backpack with Adjustable Shoulder Straps,"₹1,979",3.8,87,,https://www.ajio.com/united-colors-of-benetton-men-backpack-with-adjustable-shoulder-straps/p/466943156_beige?
Decathlon,Solognac - Unisex Water Repellent Wildlife Backpacks 20L,₹899,3,8,,https://www.ajio.com/decathlon-solognac--unisex-water-repellent-wildlife-backpacks-20l/p/702221599_green?
FUR JADEN,Men Laptop Backpack with Adjustable Straps,"₹2,199",5,4,,https://www.ajio.com/fur-jaden-men-laptop-backpack-with-adjustable-straps/p/702628318_green?
Puma,School Backpack,"₹1,139",4.2,341,,https://www.ajio.com/puma-school-backpack/p/466829937_black?
ARMANI EXCHANGE,Laptop Backpack with Side Pockets,"₹9,000",,,,https://www.ajio.com/armani-exchange-laptop-backpack-with-side-pockets/p/410369008_26921?
Priority,Unisex Printed College Backpack with Raincover - 38L,₹432,3.9,53,,https://www.ajio.com/priority-unisex-printed-college-backpack-with-raincover--38l/p/700643977_blue?
MOKOBARA,Men Backpack with Zip Closure,"₹5,799",4.7,28,,https://www.ajio.com/mokobara-men-backpack-with-zip-closure/p/701416903_black?
EUME,Self-design Laptop Backpack,"₹5,499",,,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250331/k8J9/67e9b2a655340d4b4f9c45be/eume_charcoal_black_self-design_laptop_backpack.jpg,https://www.ajio.com/eume-self-design-laptop-backpack/p/701394280_black?
MOKOBARA,Zip-Around Laptop Back Pack,"₹7,299",,,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250401/4brZ/67ebaa7c55340d4b4fa266b5/mokobara_berry_gelato_zip-around_laptop_back_pack.jpg,https://www.ajio.com/mokobara-zip-around-laptop-back-pack/p/701402613_coral?
Wildcraft,Men Backpack with Adjustable Straps,"₹1,097",5,2,,https://www.ajio.com/wildcraft-men-backpack-with-adjustable-straps/p/701984884_grey?
NIKE,Y Brasilia JDI Mini Backpack,"₹1,595",3.9,111,https://assets-jiocdn.ajio.com/medias/sys_master/root/20241111/KTAw/6731f987260f9c41e8cd4fdd/nike_black_y_brasilia_jdi_mini_backpack.jpg,https://www.ajio.com/nike-y-brasilia-jdi-mini-backpack/p/469687887_blackgrey?
MOKOBARA,The Transit Unisex Laptop Backpack,"₹4,999",4.1,75,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240610/PPqO/666726a405ac7d77bbc364c4/mokobara_black_the_transit_unisex_laptop_backpack.jpg,https://www.ajio.com/mokobara-the-transit-unisex-laptop-backpack/p/467041385_black?
NIKE,Brasilia Logo Print Backpack,"₹2,995",,,,https://www.ajio.com/nike-brasilia-logo-print-backpack/p/469814277_black?
GUESS,Everyday Compact Backpack with Zip Closure,"₹6,757",,,,https://www.ajio.com/guess-everyday-compact-backpack-with-zip-closure-/p/701172266_black?
Wildcraft,Men Laptop Back Pack,"₹1,469",3.5,11,,https://www.ajio.com/wildcraft-men-laptop-back-pack/p/701324781_grey?
TOMMY HILFIGER,Unisex Laptop Backpack,"₹1,741",4.8,8,,https://www.ajio.com/tommy-hilfiger-unisex-laptop-backpack/p/702772597_beige?
Skybags,"Unisex Namma CSK 16.5"" Compatible Laptop Backpack with Shoe Pocket & Rain Cover-40L","₹1,653",3.8,8,,https://www.ajio.com/skybags-unisex-namma-csk-16-5-compatible-laptop-backpack-with-shoe-pocket--rain-cover-40l/p/4947749100_multi?
Puma,Logo Print Phase Backpack,"₹2,299",3.9,11,,https://www.ajio.com/puma-logo-print-phase-backpack/p/469767604_clearblack?
NIKE,DD0559-010 Brand Print Backpack,"₹2,295",4.3,136,,https://www.ajio.com/nike-dd0559-010-brand-print-backpack/p/469146023_black?
ARMANI EXCHANGE,Xavier Brand Print Backpack,"₹13,799",3.8,4,,https://www.ajio.com/armani-exchange-xavier-brand-print-backpack/p/410532881_uc001?
SAFARI,Men Aether 38L Laptop Backpack,"₹1,287",5,3,,https://www.ajio.com/safari-men-aether-38l-laptop-backpack/p/703346664_blue?
POLICE,Patterned Backpack with Adjustable Straps,"₹1,379",,,,https://www.ajio.com/police-patterned-backpack-with-adjustable-straps/p/703544253_black?
Puma,Elite Multi-Pocket Trek Backpack,"₹2,474",,,,https://www.ajio.com/puma-elite-multi-pocket-trek-backpack/p/703318858_black?
Wildcraft,Men Backpack with Multiple Compartments,"₹1,999",4.1,10,,https://www.ajio.com/wildcraft-men-backpack-with-multiple-compartments/p/701286997_grey?
